Donnée,Année,Top 5
Social support,2015,"['New Zealand', 'Iceland', 'Uzbekistan', 'Turkmenistan', 'Denmark']"
Social support,2016,"['Iceland', 'Norway', 'Ireland', 'Denmark', 'United Kingdom']"
Social support,2017,"['Iceland', 'Finland', 'New Zealand', 'Denmark', 'Norway']"
Social support,2018,"['Turkmenistan', 'Norway', 'Finland', 'Denmark', 'New Zealand']"
Social support,2019,"['Iceland', 'Turkmenistan', 'Austria', 'France', 'Denmark']"
Social support,2020,"['Iceland', 'Kazakhstan', 'Czechia', 'Finland', 'Ireland']"
Social support,2021,"['Iceland', 'Finland', 'Slovenia', 'Latvia', 'Slovakia']"
Social support,2022,"['Iceland', 'Finland', 'Denmark', 'New Zealand', 'Israel']"
Healthy life expectancy at birth,2005,"['Japan', 'Sweden', 'France', 'Netherlands', 'Italy']"
Healthy life expectancy at birth,2006,"['Singapore', 'Switzerland', 'Israel', 'France', 'Cyprus']"
Healthy life expectancy at birth,2007,"['Japan', 'Singapore', 'Israel', 'Sweden', 'Italy']"
Healthy life expectancy at birth,2008,"['Japan', 'Singapore', 'Israel', 'Iceland', 'Sweden']"
Healthy life expectancy at birth,2009,"['Japan', 'Singapore', 'Switzerland', 'Israel', 'Sweden']"
Healthy life expectancy at birth,2010,"['Japan', 'Singapore', 'Israel', 'France', 'Sweden']"
Healthy life expectancy at birth,2011,"['Japan', 'Singapore', 'Israel', 'France', 'Sweden']"
Healthy life expectancy at birth,2012,"['Japan', 'Iceland', 'Israel', 'Switzerland', 'France']"
Healthy life expectancy at birth,2013,"['Japan', 'Singapore', 'Iceland', 'Israel', 'South Korea']"
Healthy life expectancy at birth,2014,"['Japan', 'Singapore', 'South Korea', 'Israel', 'Switzerland']"
Healthy life expectancy at birth,2015,"['Japan', 'Singapore', 'South Korea', 'Iceland', 'Israel']"
Healthy life expectancy at birth,2016,"['Japan', 'Singapore', 'South Korea', 'Israel', 'Iceland']"
Healthy life expectancy at birth,2017,"['Japan', 'Singapore', 'South Korea', 'Israel', 'Switzerland']"
Healthy life expectancy at birth,2018,"['Japan', 'Singapore', 'South Korea', 'Switzerland', 'Israel']"
Healthy life expectancy at birth,2019,"['Japan', 'Singapore', 'South Korea', 'Switzerland', 'Cyprus']"
Healthy life expectancy at birth,2020,"['Japan', 'South Korea', 'Switzerland', 'Cyprus', 'Israel']"
Healthy life expectancy at birth,2021,"['Japan', 'Singapore', 'South Korea', 'Switzerland', 'Cyprus']"
Healthy life expectancy at birth,2022,"['Japan', 'South Korea', 'Switzerland', 'Cyprus', 'Israel']"
Freedom to make life choices,2005,"['Denmark', 'Sweden', 'Canada', 'Australia', 'Belgium']"
Freedom to make life choices,2006,"['Finland', 'Norway', 'Ireland', 'Austria', 'Slovenia']"
Freedom to make life choices,2007,"['Denmark', 'Canada', 'Costa Rica', 'Vietnam', 'Malawi']"
Freedom to make life choices,2008,"['Denmark', 'Norway', 'Finland', 'Canada', 'Hong Kong S.A.R. of China']"
Freedom to make life choices,2009,"['Denmark', 'Luxembourg', 'Cambodia', 'Hong Kong S.A.R. of China', 'Canada']"
Freedom to make life choices,2010,"['Denmark', 'Cambodia', 'Canada', 'Australia', 'Netherlands']"
Freedom to make life choices,2011,"['Luxembourg', 'Ireland', 'Canada', 'Australia', 'Sweden']"
Freedom to make life choices,2012,"['Cambodia', 'Norway', 'Switzerland', 'Sweden', 'Australia']"
Freedom to make life choices,2013,"['Uzbekistan', 'New Zealand', 'Cambodia', 'United Arab Emirates', 'Sweden']"
Freedom to make life choices,2014,"['Norway', 'Uzbekistan', 'Switzerland', 'Sweden', 'Denmark']"
Freedom to make life choices,2015,"['Uzbekistan', 'Somalia', 'Cambodia', 'Norway', 'New Zealand']"
Freedom to make life choices,2016,"['Uzbekistan', 'Cambodia', 'Norway', 'Iceland', 'United Arab Emirates']"
Freedom to make life choices,2017,"['Uzbekistan', 'Cambodia', 'Finland', 'United Arab Emirates', 'Denmark']"
Freedom to make life choices,2018,"['Uzbekistan', 'Norway', 'Cambodia', 'New Zealand', 'Canada']"
Freedom to make life choices,2019,"['Uzbekistan', 'Denmark', 'Iceland', 'Cambodia', 'Norway']"
Freedom to make life choices,2020,"['Norway', 'Cambodia', 'Finland', 'Slovenia', 'Estonia']"
Freedom to make life choices,2021,"['Cambodia', 'Finland', 'Sweden', 'United Arab Emirates', 'Norway']"
Freedom to make life choices,2022,"['Vietnam', 'Uzbekistan', 'Finland', 'Kyrgyzstan', 'Cambodia']"
Generosity,2005,"['Canada', 'Australia', 'Belgium', 'Brazil', 'Czechia']"
Generosity,2006,"['Laos', 'Haiti', 'Indonesia', 'Thailand', 'New Zealand']"
Generosity,2007,"['Laos', 'Thailand', 'Australia', 'Netherlands', 'United Kingdom']"
Generosity,2008,"['Thailand', 'Laos', 'Netherlands', 'United Kingdom', 'Ireland']"
Generosity,2009,"['Thailand', 'Malta', 'United Kingdom', 'Ireland', 'Tanzania']"
Generosity,2010,"['Thailand', 'Indonesia', 'United Kingdom', 'Cambodia', 'Netherlands']"
Generosity,2011,"['Laos', 'Indonesia', 'Cambodia', 'Thailand', 'Ireland']"
Generosity,2012,"['Myanmar', 'Thailand', 'United Kingdom', 'Indonesia', 'Malta']"
Generosity,2013,"['Myanmar', 'Thailand', 'Malta', 'Indonesia', 'Bhutan']"
Generosity,2014,"['Myanmar', 'Thailand', 'Indonesia', 'Malta', 'Kyrgyzstan']"
Generosity,2015,"['Myanmar', 'Indonesia', 'Uzbekistan', 'Malta', 'Australia']"
Generosity,2016,"['Myanmar', 'Indonesia', 'Thailand', 'Malta', 'Kenya']"
Generosity,2017,"['Myanmar', 'Indonesia', 'Haiti', 'Australia', 'New Zealand']"
Generosity,2018,"['Indonesia', 'Myanmar', 'Gambia', 'Haiti', 'Uzbekistan']"
Generosity,2019,"['Myanmar', 'Indonesia', 'Gambia', 'Thailand', 'Kenya']"
Generosity,2020,"['Indonesia', 'Myanmar', 'Kosovo', 'Tanzania', 'Thailand']"
Generosity,2021,"['Indonesia', 'Myanmar', 'Kenya', 'Thailand', 'Bosnia and Herzegovina']"
Generosity,2022,"['Indonesia', 'Ukraine', 'Gambia', 'Ethiopia', 'United Kingdom']"
Perceptions of corruption,2005,"['Poland', 'Romania', 'Lebanon', 'Italy', 'Hungary']"
Perceptions of corruption,2006,"['Lithuania', 'Chad', 'Jamaica', 'Slovakia', 'Latvia']"
Perceptions of corruption,2007,"['Bulgaria', 'Ukraine', 'Lithuania', 'Indonesia', 'Romania']"
Perceptions of corruption,2008,"['Indonesia', 'Zimbabwe', 'Mongolia', 'Lithuania', 'Trinidad and Tobago']"
Perceptions of corruption,2009,"['Lithuania', 'Kosovo', 'Romania', 'Cambodia', 'Ukraine']"
Perceptions of corruption,2010,"['Hungary', 'Romania', 'Croatia', 'Kosovo', 'Serbia']"
Perceptions of corruption,2011,"['Serbia', 'Croatia', 'Romania', 'Lithuania', 'Indonesia']"
Perceptions of corruption,2012,"['Indonesia', 'Romania', 'Portugal', 'Greece', 'Lithuania']"
Perceptions of corruption,2013,"['Indonesia', 'Bosnia and Herzegovina', 'Bulgaria', 'Romania', 'Trinidad and Tobago']"
Perceptions of corruption,2014,"['Bosnia and Herzegovina', 'Indonesia', 'Romania', 'Lithuania', 'Bulgaria']"
Perceptions of corruption,2015,"['Romania', 'Bosnia and Herzegovina', 'Ukraine', 'Indonesia', 'Ghana']"
Perceptions of corruption,2016,"['Moldova', 'Bosnia and Herzegovina', 'Lithuania', 'Romania', 'Kosovo']"
Perceptions of corruption,2017,"['Afghanistan', 'Ukraine', 'Moldova', 'Romania', 'Kosovo']"
Perceptions of corruption,2018,"['Bulgaria', 'Ukraine', 'Moldova', 'Afghanistan', 'Croatia']"
Perceptions of corruption,2019,"['Bosnia and Herzegovina', 'Romania', 'Bulgaria', 'Croatia', 'Slovakia']"
Perceptions of corruption,2020,"['Croatia', 'Ukraine', 'Moldova', 'Kyrgyzstan', 'Thailand']"
Perceptions of corruption,2021,"['Afghanistan', 'Thailand', 'Croatia', 'Tunisia', 'Romania']"
Perceptions of corruption,2022,"['Bulgaria', 'Romania', 'North Macedonia', 'Jamaica', 'Ghana']"
Positive affect,2005,"['Venezuela', 'Canada', 'United Kingdom', 'Denmark', 'Brazil']"
Positive affect,2006,"['Honduras', 'Venezuela', 'Panama', 'New Zealand', 'Costa Rica']"
Positive affect,2007,"['El Salvador', 'Costa Rica', 'Nigeria', 'Paraguay', 'Canada']"
Positive affect,2008,"['Iceland', 'Costa Rica', 'El Salvador', 'Venezuela', 'Ecuador']"
Positive affect,2009,"['El Salvador', 'Costa Rica', 'Panama', 'Guatemala', 'Thailand']"
Positive affect,2010,"['Venezuela', 'Panama', 'Philippines', 'Costa Rica', 'Paraguay']"
Positive affect,2011,"['Panama', 'Thailand', 'El Salvador', 'Trinidad and Tobago', 'Venezuela']"
Positive affect,2012,"['Paraguay', 'Venezuela', 'Panama', 'Costa Rica', 'Colombia']"
Positive affect,2013,"['Paraguay', 'Panama', 'Denmark', 'Ecuador', 'Guatemala']"
Positive affect,2014,"['Paraguay', 'Ecuador', 'Colombia', 'Guatemala', 'New Zealand']"
Positive affect,2015,"['Thailand', 'Venezuela', 'Paraguay', 'Honduras', 'Guatemala']"
Positive affect,2016,"['Paraguay', 'Costa Rica', 'Guatemala', 'Panama', 'Thailand']"
Positive affect,2017,"['Iceland', 'Paraguay', 'Guatemala', 'El Salvador', 'Norway']"
Positive affect,2018,"['Panama', 'Guatemala', 'Honduras', 'Ecuador', 'El Salvador']"
Positive affect,2019,"['Panama', 'El Salvador', 'Guatemala', 'Mexico', 'Indonesia']"
Positive affect,2020,"['Senegal', 'El Salvador', 'Iceland', 'New Zealand', 'Philippines']"
Positive affect,2021,"['Panama', 'El Salvador', 'Senegal', 'Honduras', 'Paraguay']"
Positive affect,2022,"['Guatemala', 'El Salvador', 'Paraguay', 'Panama', 'Indonesia']"
Negative affect,2005,"['Iran', 'Romania', 'Egypt', 'Brazil', 'Italy']"
Negative affect,2006,"['Armenia', 'Bolivia', 'State of Palestine', 'Peru', 'Sierra Leone']"
Negative affect,2007,"['Liberia', 'State of Palestine', 'Armenia', 'Turkiye', 'Bolivia']"
Negative affect,2008,"['Iraq', 'State of Palestine', 'Bolivia', 'Armenia', 'Philippines']"
Negative affect,2009,"['State of Palestine', 'Serbia', 'Montenegro', 'Bahrain', 'Armenia']"
Negative affect,2010,"['Iraq', 'Armenia', 'Bahrain', 'Cambodia', 'Serbia']"
Negative affect,2011,"['Iraq', 'Bahrain', 'Syria', 'Armenia', 'Serbia']"
Negative affect,2012,"['Syria', 'Iran', 'Armenia', 'Iraq', 'North Macedonia']"
Negative affect,2013,"['Syria', 'Iraq', 'Iran', 'Egypt', 'Greece']"
Negative affect,2014,"['Iraq', 'Iran', 'Cambodia', 'Liberia', 'Togo']"
Negative affect,2015,"['Syria', 'Iraq', 'Iran', 'South Sudan', 'Armenia']"
Negative affect,2016,"['Iraq', 'South Sudan', 'Iran', 'Liberia', 'Central African Republic']"
Negative affect,2017,"['Central African Republic', 'Iraq', 'Chad', 'South Sudan', 'Sierra Leone']"
Negative affect,2018,"['Chad', 'Niger', 'Iran', 'Iraq', 'Benin']"
Negative affect,2019,"['Afghanistan', 'Lebanon', 'Guinea', 'India', 'Chad']"
Negative affect,2020,"['Iraq', 'Lebanon', 'Peru', 'Iran', 'Egypt']"
Negative affect,2021,"['Afghanistan', 'Lebanon', 'Armenia', 'Iraq', 'Turkiye']"
Negative affect,2022,"['Afghanistan', 'Armenia', 'Sierra Leone', 'Chad', 'Guinea']"
